Districts,gdp (2010-2011)
Ganjam,8.832644375
Cuttack,8.170619536
Mayurbhanj,11.1802995
Baleshwar,
Khordha,10.55566068
Sundargarh,5.746714728
Jajapur,8.950740762
Kendujhar,-0.049125267
Puri,13.142338
Balangir,16.6760159
Kalahandi,12.99994006
Bhadrak,5.211620417
Bargarh,12.15939205
Kendrapara,10.97162468
Koraput,9.146622135
Anugul,1.338297875
Nabarangapur,6.612345547
Dhenkanal,7.100216955
Jagatsinghapur,8.333824357
Sambalpur,6.857229176
Rayagada,2.192067241
Nayagarh,9.309288267
Kandhamal,6.269771078
Malkangiri,1.085748237
Nuapada,6.771688267
Subarnapur,9.95304019
Jharsuguda,16.23241376
Gajapati,7.415397061
Baudh,10.61305066
Debagarh,-1.864125932
